Ticker,Cluster
BAC,0
AXP,0
BA,0
C,0
CAT,0
DE,0
F,0
FCX,0
GE,0
GS,0
JPM,0
MS,0
WFC,0
SCHW,0
NUE,0
EOG,1
RTX,1
XOM,1
SPG,1
SLB,1
CVX,1
COP,1
CB,1
SRE,2
EXC,2
MO,2
T,2
VZ,2
O,2
PM,2
KO,2
AMT,3
SO,3
PEP,3
NEE,3
CL,3
MDLZ,3
JNJ,3
KMB,3
DUK,3
AEP,3
PG,3
QCOM,4
AVGO,4
MSFT,4
NFLX,4
TXN,4
NVDA,4
GOOGL,4
AAPL,4
LRCX,4
AMD,4
AMZN,4
ADBE,4
AMAT,4
LOW,5
CSCO,5
BLK,5
MA,5
INTC,5
BKNG,5
DIS,5
HD,5
FDX,5
TGT,5
NKE,5
SHW,5
V,5
UPS,5
SPGI,5
ORCL,5
SBUX,5
WMT,6
COST,6
DHR,6
LLY,6
ABT,6
AMGN,6
PLD,6
TMO,6
ABBV,7
MCD,7
LMT,7
LIN,7
IBM,7
GILD,7
HON,7
HUM,7
GOLD,7
ECL,7
FNV,7
AEM,7
APD,7
BMY,7
CMCSA,7
CVS,7
MDT,7
TMUS,7
NEM,7
PFE,7
MRK,7
TJX,7
UNH,7
WPM,7
